density,residual sugar
1.0008,3
0.9997,2.3
1,2.4
0.9972,2.7
0.9982,1.8
0.9982,1.8
1.0006,2.6
0.9979,1.9
0.9955,2.7
0.9986,3
0.9979,2.8
0.9994,2.6
1.0004,2.7
0.9994,2.6
0.9974,2.4
1.0018,4.8
0.9912,1.4
0.9955,2.4
1.0001,3
0.997,2.95
1,3.1
1.001,2.6
0.9973,2
0.9982,2.6
0.9992,2.5
0.9988,2
1.0022,5.8
0.9979,3.4
1.0022,5.8
1,2.6
0.9998,2.8
0.9962,2.4
0.9975,2.3
0.9967,1.6
0.9967,1.8
0.9959,2.2
1.0014,3.8
0.9984,4.4
1.0003,3
0.9962,2.4
0.9988,6.2
0.9979,2.5
0.9974,2
1.0014,2.9
0.9974,2
0.9974,2
0.998,2.1
0.9979,2.4
0.9981,2
0.9972,1.9
0.9981,1.9
0.9982,2.5
0.9924,1.4
1.0014,2.9
0.998,2
0.997,2
0.9997,2.3
1.0004,4.2
0.9994,7.9
0.9988,2.6
0.9988,2.6
0.9963,2.3
0.9994,7.9
0.9949,1.7
1,2.6
0.9994,2.7
0.9974,2.7
0.9966,1.4
0.9981,2.5
0.9996,3
0.997,3.7
0.9981,4.5
0.9987,2.5
0.9987,2.4
0.9966,1.9
0.9986,6.7
0.9982,2.7
1.0014,6.6
0.997,2.2
0.9956,1.9
0.9996,2
0.9976,1.8
0.9972,2.4
0.9952,2.3
0.9955,2
0.9978,2.1
0.9955,2
0.9952,2.3
0.9949,2.1
0.9988,1.9
0.9978,1.3
0.9997,2.4
0.9978,2.1
0.9974,2.2
0.9958,2.3
1.0004,2.3
0.9996,3.2
1.0004,2.3
0.9958,2
0.9986,3.2
0.9996,3.2
0.9951,1.5
0.9987,2.2
0.9988,2.15
1.0032,3.7
0.9963,2.7
0.9934,1.7
0.9986,2.1
0.9996,2.6
0.9968,2.1
0.9967,2
0.9994,2.8
0.9994,2.8
0.9979,1.8
0.9968,1.7
0.9998,2.8
0.9952,1.6
0.9988,5.2
0.9986,2.3
0.9988,2.7
0.9998,2.8
1.0008,2.2
0.9976,2.3
0.9982,2.6
0.997,2.55
0.9972,2.2
0.9987,2.1
1.0006,2.9
0.9982,2
0.9947,2.6
1,2.1
0.9952,1.2
0.9996,2.6
0.997,2.4
0.9995,2.6
0.9971,2.1
0.9982,1.7
0.9988,2.2
0.998,2
0.9977,1.8
0.9988,2.2
0.9984,2.7
1.0026,15.5
0.9964,2.8
0.9986,2.2
0.9986,2.2
0.997,4.1
0.9976,1.9
0.9976,1.9
0.9982,1.8
1.0002,2.8
0.9984,2.6
0.9984,2.8
0.9952,2.5
0.995,2.6
1.0002,3
0.9952,8.3
0.9972,2.6
0.9984,1.9
0.9966,2.5
0.9972,2.6
1.0002,3
0.9984,1.9
0.999,6.55
0.999,6.55
0.9976,1.9
0.9976,1.8
0.9968,2.9
0.9976,1.8
1,2.3
0.9994,2.2
0.9986,2.8
0.9978,4.6
0.9994,2.2
0.998,2.1
0.9973,2.4
0.9973,2.4
1.001,6.1
1.001,4.3
0.9994,2.1
0.9972,2.8
0.9966,2.5
0.9982,2.7
0.998,2
0.9979,2.3
0.9978,2.5
0.9976,2.4
0.9998,2.8
0.9966,2.5
0.9962,2.5
0.9988,2.6
0.9974,2.4
0.999,2.1
1.0004,2.7
1.0004,2.7
0.9956,2.1
1,2.7
0.999,2.1
0.9974,2.4
0.9972,2.1
1.0014,5.8
0.9996,5.15
0.9988,3.3
0.9988,6.3
0.9966,2.1
0.9993,2.5
1.0008,1.8
0.9982,2.6
0.9983,2
0.9987,2.5
0.9994,2.6
0.9975,1.9
0.9958,2.1
0.998,2.8
0.998,2.7
0.9934,1.6
1.00315,4.2
1.00315,4.2
1.0002,4.6
1.00315,4.2
1.0002,4.6
1.0021,4.3
0.9994,2.8
0.9978,2.4
0.9982,2.9
0.9971,2.7
1.0021,4.3
0.9994,2.8
0.9991,2.5
0.9991,2.5
0.999,2.6
0.9946,2.2
1.0003,3.3
0.9946,2.2
0.9978,2.4
0.9991,2.1
0.9992,3.2
0.9993,3.1
0.9978,2.3
0.9982,2.8
0.9982,2.9
0.9976,2.2
1.0002,2.2
1.0002,2.2
1,2.2
0.9976,1.9
1.0002,3.4
0.998,2.4
0.9986,2.7
0.9967,1.9
0.9917,2
0.9976,2.6
0.9987,2.6
0.9922,1.7
0.9987,2.6
1.0004,3.5
0.9978,2.6
0.9998,7.9
0.9994,2
0.998,1.9
0.9967,2.1
1,2.3
0.9962,2.1
1.0006,2.2
0.9975,2.6
1.0006,2.2
0.9984,2.9
0.9984,2.6
0.9973,4.6
0.9982,3.3
1.0026,5.1
0.9956,3.2
0.9983,2.5
1.0006,2.7
0.9965,2.4
0.9962,1.5
0.9969,2.2
0.9997,2.3
0.9997,2.3
0.9982,2.2
1.0006,2.7
0.9988,2.3
0.9976,3.4
0.9976,3.4
0.9974,1.9
0.9974,2.9
0.9997,5.6
0.9997,5.6
0.9988,2.2
0.9988,2.2
0.9976,2.5
0.9964,2.3
0.9976,2.5
0.9988,2.7
0.9964,3
1.001,3.4
0.9964,1.9
0.9954,1.4
0.9979,2.4
0.9978,2.3
0.9964,2.2
0.997,1.9
0.9991,2.3
0.9992,2.3
0.9991,2.3
0.9992,2.3
0.9991,2.3
0.9984,6
0.9972,3.6
0.9967,2.2
0.9964,2.8
0.9948,8.6
0.9986,2.2
1.001,2.5
0.9976,7.5
0.9976,2.8
0.9979,2.4
1.0004,2.9
0.9986,2.2
0.998,1.4
0.9973,1.4
0.997,4.4
0.9973,1.4
0.9978,1.6
0.9972,1.6
0.9974,1.8
1,2
0.9981,2
0.998,1.8
0.9988,2
0.9966,2.3
0.9988,2
0.9959,2.5
0.9968,1.7
0.998,2
0.9968,1.7
0.9984,2.2
0.9984,2.2
0.9984,2.2
0.9979,2.3
0.9983,2.6
0.9972,3.3
1.0004,1.9
0.9962,2.2
0.998,2.25
0.997,2.6
0.998,2.3
0.997,2.6
0.997,1.8
0.9998,3.1
0.9962,1.6
0.9976,1.8
0.9966,4.25
0.9998,2.6
0.9979,2
0.9984,2.8
0.9984,2.7
0.9921,1.3
0.9972,2.1
0.9972,2.1
1.0001,3.2
0.9986,2.1
0.9984,2.9
0.9972,2.1
0.997,2.1
0.9972,2.6
0.998,1.6
0.999,6
0.9956,2
0.9966,3
0.996,2.5
0.9983,1.6
0.9985,2.8
0.9998,3
0.9992,3.2
0.9976,2.3
0.998,2.6
0.9967,2.7
0.9976,2.3
0.9968,2.6
0.9976,2
0.9976,3.9
0.9976,2
0.9982,2.85
0.9968,2.7
0.9965,2.2
0.9958,3.1
0.9976,3
0.9994,2.8
0.997,1.8
0.997,1.8
0.995,3.2
0.9982,2.3
0.9994,3.45
0.9966,2.1
0.998,2.7
0.9987,2
0.9963,2.1
0.9963,2.1
1.0002,2.5
0.9983,2.8
0.999,2.4
0.9965,4.2
0.99788,2.6
0.9972,1.9
1.00024,2.8
1.0001,2.7
0.99768,2.1
0.9978,2.5
0.99782,2.6
0.99761,2.1
0.99768,2.1
0.99803,2.9
0.99803,2.9
0.99785,2.5
0.99803,2.9
0.99656,1.7
0.99525,1.9
0.99488,2
0.99656,2.2
0.99656,2.2
0.99823,2.5
0.99779,2.8
0.99738,2
0.99701,1.7
0.99738,2
0.99888,2.8
0.99888,3
0.99738,2.9
0.99938,2.7
0.99744,2.3
0.99668,1.9
0.99744,2.3
0.9978,2.4
0.99782,2.3
0.9973,1.8
0.99727,1.8
0.99586,3
0.99612,2.4
0.9961,2.4
0.99788,3.4
0.99745,2.6
0.99676,2
0.99732,2.4
0.99814,2.4
0.99732,2.4
0.99746,2.5
0.9982,2.3
0.9982,2.3
0.9991,2.2
0.9991,2.2
0.998,2.9
0.99708,2.6
0.99818,2.9
0.99745,2.5
0.99639,2.6
0.99531,2.3
0.99786,2.6
0.99746,2.5
0.99526,1.6
0.9987,3.6
0.9987,3.6
0.99641,4
0.99735,3.3
0.99264,1.7
0.9971,2.5
0.99682,2.7
0.99356,2.4
0.99386,2
0.99356,2.4
0.99702,1.9
0.99693,2.8
0.99562,2.6
1.00012,2.8
0.99818,2.5
0.99462,2.1
0.99939,2.8
0.99818,2.5
0.9984,3.2
0.99545,1.6
0.99632,2.35
0.99976,3.2
0.99606,1.9
0.99154,2.1
0.9973,2
0.9973,2
0.99682,2.8
0.99624,2.8
0.9951,2.3
0.99624,2.8
0.99417,2.3
0.99376,2.1
0.99632,2.5
0.99376,2.1
0.99832,1.5
0.99836,1.6
0.99694,1.6
0.99655,1.5
0.99064,2.4
0.99064,2.4
0.99672,1.6
0.99647,2.2
0.99736,2.65
0.99629,3
0.99708,2.6
0.9963,2
0.9959,1.7
0.99689,1.8
0.99689,1.8
0.9977,1.8
0.99689,1.8
0.99689,1.6
0.99708,1.9
0.99708,1.9
0.99801,2.5
0.99652,1.5
0.99652,1.5
0.99538,2.5
0.99652,1.5
0.99594,2.5
0.99686,1.7
0.99438,1.8
0.99746,2.7
0.99357,2
0.99628,2.7
0.99746,2.5
0.99746,2.7
0.99748,2.6
0.99438,2.3
0.99438,2
0.99438,1.8
0.99578,2
0.99371,2.1
0.99522,1.5
0.99576,2
0.99552,1.6
0.99664,2.1
0.99614,2.8
0.99517,2.2
0.99371,2.1
0.99787,4
0.99745,2.5
0.99576,1.6
0.99533,2.1
0.99536,3.1
0.99745,2.5
0.99787,4
0.99824,2.5
0.99836,2.4
0.99577,2.6
0.99491,2.5
1.00289,6.6
0.99576,2
0.99743,2.3
0.99774,1.9
0.99743,2.3
0.99745,2.2
0.9955,2.3
0.99444,2.4
0.9955,2.3
0.99444,2.4
0.99892,3.4
0.99562,2.6
0.99736,2.4
0.99736,2.4
0.9962,6
0.9962,6
0.998,3
0.9964,2.6
0.9948,2.2
0.99528,2.4
0.99331,1.2
0.99577,3.8
0.99901,9
0.99674,2.9
0.99639,4.6
0.99331,1.2
0.99512,2.2
0.99395,1.5
0.99824,8.8
0.9964,2.2
0.99504,1.8
0.99786,2.3
0.9964,2.2
0.99504,1.8
0.99824,8.8
0.99516,2.3
0.99604,1.9
0.99786,2.3
0.99736,2.2
0.99516,2.3
0.99468,3.3
0.99746,1.9
0.99748,2
0.9971,1.9
0.99748,2
0.99746,1.9
0.99543,2.3
0.99543,2.3
0.99791,1.4
0.99356,2.8
0.99425,1.6
0.99509,2.2
0.99484,5
0.99834,2.6
0.99864,2.3
0.99498,3.8
0.99566,2
0.99745,4.1
0.99408,2.1
0.99552,1.8
0.99552,1.8
0.99552,1.8
0.99408,2.1
0.99536,2.2
0.99458,2.1
0.99538,2.7
0.99648,1.9
0.99568,2.1
0.99613,2
0.99519,2.3
0.99735,2
0.99518,1.9
0.99592,1.6
0.99654,2.1
0.99546,2
0.99518,1.9
0.99554,2.4
0.99604,2.4
0.99733,2.1
0.9943,2.4
0.99669,2.9
0.99724,1.9
0.99724,1.9
0.99643,2.4
0.99605,1.7
0.99658,5.9
0.997,2.1
0.997,2.1
0.99801,2.6
0.99416,3.6
0.9969,1.4
0.99774,1.9
0.99712,1.9
0.99418,2.1
0.99774,1.9
0.9969,1.4
0.99562,2
0.9947,1.4
0.99693,1.6
0.99596,1.7
0.99556,1.5
0.99596,1.7
0.99694,2
0.99554,2
0.99694,2
0.99918,2.5
0.99697,2
0.99378,2.2
0.99378,2.2
0.99554,1.4
0.99162,1.65
0.99495,2.2
0.99676,1.5
0.99516,2.05
0.9928,1.8
0.99603,1.6
0.9928,1.8
0.99516,2.05
0.99516,2
0.99549,3.6
0.99722,2.8
0.99354,1.7
0.9957,2
0.99604,2.1
0.99635,1.6
0.99454,2
0.99598,2.2
0.99486,2.2
0.99007,0.9
0.99007,0.9
0.99636,1.8
0.99642,2.4
0.99642,2.4
0.99584,2.1
0.99506,2.3
0.99568,1.8
0.99822,2.8
0.99364,1.9
0.99378,2.2
0.99586,2.5
0.99568,1.8
0.99488,2.1
0.99514,1.8
0.99854,4.1
0.99592,2.6
0.99739,2.5
0.99683,2.4
0.99356,2.5
0.99672,1.8
0.9953,6.2
0.99692,2.2
0.99756,2.2
0.99547,1.7
0.99692,2.2
0.99859,8.9
0.99294,3.3
0.99438,1.4
0.99612,1.7
0.99634,1.8
0.99702,1.7
0.99704,1.8
0.99634,1.8
0.99702,1.4
0.99258,2.4
0.99426,2.3
0.99747,2
0.99747,2
0.99586,4
0.99784,3.9
0.9971,2.4
0.99586,4
0.9981,1.8
0.99462,1.8
0.9956,1.9
0.99565,2.4
0.99418,2
0.9963,2.4
0.99358,2.4
0.99572,2.2
0.99572,2.2
0.997,2.8
0.99498,1.5
0.99892,8.1
0.9968,1.8
0.9972,2.7
0.99892,8.1
0.99769,2
0.99534,2
0.99817,6.4
0.99817,6.4
0.99316,8.3
0.99471,1.4
0.99316,8.3
0.99685,1.8
0.99617,2.4
0.99685,1.8
0.99529,1.8
0.99738,4.7
0.994,1.6
0.99735,1.5
0.99735,1.5
0.99451,1.9
0.99546,2
0.99479,2
0.99615,2.2
0.99655,5.5
0.99772,2.5
0.99655,5.5
0.99666,1.5
0.99358,2.1
0.99666,1.5
0.99392,2.1
0.99388,2.1
0.99402,1.7
0.99388,2.1
0.9936,2.2
0.99374,2.1
0.99376,1.9
0.99523,2
0.99855,3.3
0.9982,2.1
0.99593,1.4
0.99471,2
0.99396,1.5
0.99698,1.6
0.9902,4.3
0.99572,2.5
0.99572,2.5
0.99572,2.5
0.99252,2.1
0.99256,2.5
0.99235,2.5
0.99352,1.8
0.9922,1.4
0.99674,1.9
0.99557,2.2
0.99394,1.7
0.9915,1.7
0.99379,2.9
0.9984,2.7
0.99798,3.3
0.9977,1.9
0.99341,1.7
0.9933,1.8
0.99684,5.5
0.99524,1.7
0.9946,1.7
0.99774,2
0.99774,2
0.99786,3.7
0.99764,2
0.9969,1.7
0.99624,2.5
0.99354,2.4
0.99672,1.8
0.99588,2.3
0.99672,2.5
0.996,1.8
0.99702,6.2
0.99526,2
0.99585,2
0.99473,2.8
0.99352,2.5
0.99616,2.2
0.99622,2.1
0.99544,2.2
0.99616,2.2
0.99524,1.75
0.9924,2.1
0.99572,2.8
0.99728,2.2
0.99676,2.3
0.99551,1.4
0.99434,2.3
0.99692,1.7
0.99692,1.7
0.99634,1.9
0.99709,2
0.99528,2.5
0.99384,2.8
0.99502,2.3
0.99667,1.6
0.99522,2.2
0.99649,2.1
0.99716,1.7
0.99716,1.7
0.99541,2.2
0.99572,5.6
0.99318,2.4
0.99346,2.1
0.99599,2.4
0.99599,2.4
0.99478,1.65
0.99754,2.5
0.99572,1.6
0.99538,2.1
0.99346,2
0.9963,7.8
0.99346,2
0.99538,2.1
0.99616,1.8
0.99652,4.6
0.99551,2.3
0.99439,2.5
0.99551,2.3
0.99588,1.8
0.99633,1.8
0.99686,2.3
0.99458,1.5
0.9951,2
0.99686,2.3
0.99458,1.5
0.99419,1.9
0.99516,1.8
0.99878,5.8
0.99534,2.1
0.99534,2.1
0.99534,2.1
0.99752,1.7
0.99534,2.1
0.99428,2
0.99498,2.1
0.9957,2.1
0.99498,2.1
0.99659,1.9
0.99628,1.9
0.99488,2.1
0.99677,2
0.99408,1.9
0.996,1.9
0.99478,1.3
0.99734,1.8
0.99734,1.8
0.99678,2.2
0.99638,2.2
0.9992,2.5
0.99922,2.6
0.99592,4.1
0.99769,2
0.99157,1.8
0.99718,2.1
0.9947,2.7
0.99621,2.6
0.99718,2.1
0.99614,2.2
0.99242,2.2
0.99572,12.9
0.99659,1.7
0.99242,2.2
0.99798,2.5
0.99488,4.3
0.99494,1.7
0.99729,2.5
0.99414,2
0.9983,2.4
0.99721,13.4
0.99655,1.8
0.99502,1.7
0.99655,1.8
0.9949,2.2
0.99514,2.3
0.99514,2.3
0.9963,2.2
0.99627,1.8
0.99569,1.4
0.99628,1.9
0.99358,2.4
0.99499,1.8
0.99633,4.8
0.99538,2.7
0.99538,2.7
0.99632,1.8
0.99437,2
0.99726,2.5
0.9978,2.2
0.99456,1.8
0.99564,2.3
0.99564,2.3
0.996,2.3
0.99668,2
0.9908,1.8
0.99084,1.6
0.9935,1.6
0.99385,1.9
0.99494,2
0.9944,2.1
0.99688,2.3
0.99566,6.3
0.99636,1.9
0.99688,2.3
0.9948,1.7
0.9956,1.9
0.9956,1.9
0.99619,2
0.99734,2.7
0.99476,2.3
0.99734,1.8
0.99328,2.5
0.99286,2.6
0.99914,4.5
0.99914,4.5
0.99521,1.9
0.99638,2.1
0.99362,2.4
0.99672,1.9
0.99638,2.1
0.99558,4.3
0.99558,4.3
0.99323,2.1
0.99191,1.4
0.99476,2.1
0.99444,2.15
0.99598,2
0.99576,2.1
0.99501,1.8
0.9955,2.3
0.99612,1.9
0.9979,2.5
0.99524,3.9
0.9979,2.5
0.996,1.4
0.99612,1.9
0.9929,3
0.99532,1.9
0.99558,2.3
0.99556,2.4
0.99616,2
0.99258,1.2
0.99638,2.2
0.99616,2
0.99652,1.7
0.99796,2.6
0.99258,1.2
0.99392,1.8
0.99495,1.8
0.9948,1.7
0.9948,1.7
0.9948,1.7
0.9948,1.7
0.9955,1.8
0.99616,2.1
0.99616,2.1
0.99668,3.8
0.99581,1.7
0.9976,2.2
0.99608,2
0.99387,2.4
0.99448,1.4
0.99448,1.4
0.99448,1.4
0.99538,1.7
0.99538,1.7
0.99538,1.7
0.99589,1.7
0.99538,1.7
0.99852,2.6
0.99613,2.3
0.99472,2.1
0.99587,1.8
0.99587,1.8
0.99518,2.8
0.99654,2
0.99332,2.3
0.9969,1.9
0.9969,1.9
0.99568,2.3
0.99464,1.8
0.99464,1.8
0.99648,2.5
0.99736,5.4
0.99704,1.4
0.99699,2.3
0.99724,2.5
0.99704,1.4
0.99652,2
0.995,1.9
0.9971,2.2
0.99576,1.7
0.99725,2.2
0.99656,2.1
0.99396,1.6
0.99623,1.7
0.99476,3.1
0.99623,1.7
0.99664,3.8
0.99471,1.2
0.99586,2
0.9946,1.4
0.9953,2.3
0.99609,2
0.99557,2.6
0.99557,2.6
0.99534,1.8
0.99613,2.1
0.99613,2.1
0.99593,1.8
0.99668,3.4
0.9961,1.8
0.9961,1.8
0.99718,6.1
0.99524,2.2
0.99292,2.3
0.99612,2.4
0.9942,1.3
0.99612,2
0.99669,3.9
0.99745,1.6
0.99745,1.6
0.99584,2
0.9966,2.2
0.9956,2.2
0.9962,2.1
0.9962,2.1
0.9963,2
0.996,1.7
0.9985,2.6
0.9952,2
0.9974,5.1
0.995,2.1
0.995,2.2
0.995,2.1
0.9936,1.8
0.9963,2.4
0.9974,5.1
0.9963,2
0.9994,2.2
0.9966,1.6
0.9994,2.2
0.9952,2.5
0.995,1.6
0.9956,2.2
0.995,1.6
0.9965,1.6
0.9956,2.1
0.9968,3.9
0.9974,1.4
0.9974,1.4
0.9971,1.8
0.9957,2.5
0.9962,1.9
0.996,2.2
0.9956,1.8
0.9958,2.1
0.9944,1.6
0.9955,1.8
1.00369,15.4
1.00369,15.4
0.99914,1.6
0.99577,4.8
0.996,1.7
0.99566,2.2
0.9947,2
0.99713,5.2
0.99712,1.9
0.99322,1.75
0.99566,2.2
0.99713,5.2
0.99712,1.9
0.99701,1.9
0.99683,1.9
0.99472,2
0.9947,2
0.99732,2.7
0.99374,2
0.99706,1.9
0.99974,2.2
0.99467,1.6
0.99236,1.8
0.99706,1.9
0.99603,1.7
0.99458,1.7
0.99724,2.3
0.99664,2.1
0.99545,2.3
0.99522,2.4
0.9958,1.7
0.9958,1.7
0.99728,2.1
0.99648,2.3
0.99728,2.1
0.99705,2.1
0.99578,1.4
0.99334,3.75
0.99656,2.6
0.99336,1.8
1.00242,13.8
0.99182,2.2
1.00242,13.8
0.99182,2.2
0.99808,5.7
0.99828,3
0.99498,1.5
0.99828,3
0.99719,2.1
0.99542,1.5
0.99592,2
0.99606,2.1
0.99546,2.1
0.99496,1.9
0.9942,1.7
0.99448,2.1
0.99344,1.8
0.9942,1.7
0.99348,1.6
0.99636,1.9
0.99459,1.4
0.99492,1.9
0.99636,1.9
0.99508,2.3
0.99582,2.3
0.99508,2.3
0.99508,1.5
0.99642,4.3
0.99638,2.4
0.99555,2.5
0.99605,2.3
0.996,1.8
0.99562,2
0.99605,2.3
0.99814,2.1
0.9941,1.8
0.99661,2.2
0.99712,2.1
0.99588,2.2
0.99294,1.8
0.99842,4.1
0.99842,4.1
0.99633,2.3
0.99489,2
0.99647,2.2
0.99665,2.6
0.99489,2
0.99585,1.9
0.99633,2.3
0.9953,2
0.99522,2
0.99552,2.1
0.99553,2.2
0.9951,1.7
0.99714,2.2
0.99608,2.1
0.99444,2.2
0.99631,2.8
0.99573,2
0.99717,1.9
0.99397,2.4
0.9959,2.2
0.99528,1.9
0.99484,1.9
0.99538,2.5
0.99714,1.8
0.99646,4.4
0.99666,2.2
0.99472,1.9
0.99758,2.2
0.9955,2.3
0.99531,1.8
0.99575,2
0.99306,1.6
0.99783,2
0.99419,1.8
0.99783,2.3
0.99768,2.3
0.99586,3.7
0.99765,2.2
0.99627,2.4
0.99514,1.7
0.99636,2.2
0.99627,2.4
0.99787,6.7
0.99622,2
0.99622,2
0.99622,2
0.99546,2
0.99546,2
0.99546,2
0.99489,1.9
0.99494,2.1
0.99546,2
0.99629,1.6
0.99396,1.9
0.9934,2.2
0.99514,2.2
0.99632,2.2
0.99467,2.4
0.99677,13.9
0.99474,2.2
0.99588,1.6
0.99622,5.1
0.9954,1.8
0.99402,1.7
0.9947,2.4
0.99402,1.7
0.99362,2.6
0.99578,2.1
0.99484,2.4
0.99494,2.6
0.99492,2.4
0.99483,1.8
0.99414,2.5
0.9977,7.8
0.99314,1.8
0.99402,1.7
0.99574,2.3
0.99651,1.9
0.9949,2
0.99512,2.2
0.99574,2.3
0.99547,2
0.99549,3.6
